received_at,topic,filename,qos,dup,retain,payload_bytes,header_bytes_est,app_total_bytes,app_over_file_ratio,ack_topic
2025-10-06 16:49:12.576,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:12.783,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:13.094,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:13.401,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:13.726,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:14.215,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:14.523,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:14.629,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:14.832,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:15.100,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:15.344,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:15.978,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:16.573,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:16.778,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:17.085,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:17.398,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:17.769,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:18.036,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:18.213,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:18.720,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:19.095,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
2025-10-06 16:49:19.783,fileTransfer/100B,100B,1,False,False,100,23,123,1.230000,fileAck/100B
